x,y,tick,distance_walked,walking_speed,cutting_speed,start_pos
40.0,24.0,316,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,317,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,318,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,319,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,320,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,321,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,322,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,323,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,324,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,325,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,326,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,327,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,328,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,329,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,330,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,331,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,332,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,333,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,334,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,335,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,336,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,337,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,338,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,339,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,340,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,341,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,342,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,343,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,344,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,345,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,346,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,347,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,348,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,349,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,350,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,351,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,352,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,353,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,354,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,355,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,356,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,357,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,358,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,359,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,360,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,361,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,362,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,363,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,364,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,365,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,366,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,367,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,368,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,369,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,370,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,371,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,372,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,373,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,374,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,375,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,376,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,377,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,378,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,379,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,380,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,381,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,382,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,383,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,384,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,385,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,386,16.0,0.5,1.0,"(2, 2)"
40.0,24.0,387,16.0,0.5,1.0,"(2, 2)"
39.37499999999986,24.0,388,16.625000000000142,0.5,1.0,"(2, 2)"
38.749999999999716,24.0,389,17.250000000000284,0.5,1.0,"(2, 2)"
38.124999999999574,24.0,390,17.875000000000426,0.5,1.0,"(2, 2)"
37.49999999999943,24.0,391,18.50000000000057,0.5,1.0,"(2, 2)"
36.87499999999929,24.0,392,19.12500000000071,0.5,1.0,"(2, 2)"
36.24999999999915,24.0,393,19.750000000000853,0.5,1.0,"(2, 2)"
35.624999999999005,24.0,394,20.375000000000995,0.5,1.0,"(2, 2)"
34.99999999999886,24.0,395,21.000000000001137,0.5,1.0,"(2, 2)"
34.37499999999872,24.0,396,21.62500000000128,0.5,1.0,"(2, 2)"
33.74999999999858,24.0,397,22.25000000000142,0.5,1.0,"(2, 2)"
33.12499999999844,24.0,398,22.875000000001563,0.5,1.0,"(2, 2)"
