tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,condition
459,tomato,pick up,Counter_32,Counter,32,pick up tomato from counter,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,57.61767093199432,0.0,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
610,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,118.87250492793315,61.25483399593883,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
678,tomato,pick up,Counter_32,Counter,32,pick up tomato from counter,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,134.87250492793314,15.999999999999986,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
730,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,157.499921925903,22.627416997969874,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
983,tomato_cut,pick up,CuttingBoard_20,CuttingBoard,20,pick up tomato_cut from cuttingboard,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,243.49992192591893,86.00000000001592,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1101,tomato_cut,assemble salad,Counter_34,Counter,34,assemble salad,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,291.49992192591776,47.999999999998835,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1278,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,346.0530844460157,54.55316252009794,1.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1434,tomato_cut,assemble salad,Counter_35,Counter,35,assemble salad,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,416.57560465792494,70.52252021190924,1.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1507,tomato,pick up,Counter_33,Counter,33,pick up tomato from counter,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,448.57560465792466,31.999999999999716,1.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1584,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,480.5756046579233,31.999999999998636,2.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1684,tomato_cut,pick up,CuttingBoard_20,CuttingBoard,20,pick up tomato_cut from cuttingboard,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,480.5756046579233,0.0,2.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1796,tomato_cut,assemble salad,Counter_34,Counter,34,assemble salad,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,528.5756046579215,47.99999999999824,2.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1861,tomato,pick up,Counter_33,Counter,33,pick up tomato from counter,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,544.5756046579212,15.999999999999659,2.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
1941,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,576.5756046579197,31.999999999998522,3.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
2090,tomato_cut,pick up,CuttingBoard_20,CuttingBoard,20,pick up tomato_cut from cuttingboard,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,576.5756046579197,0.0,3.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
2139,tomato_cut,assemble salad,Counter_32,Counter,32,assemble salad,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,592.575604657919,15.999999999999318,3.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
2194,tomato,pick up,Counter_33,Counter,33,pick up tomato from counter,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,608.5756046579183,15.999999999999318,3.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
2269,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,640.575604657917,31.999999999998636,4.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
2361,tomato_cut,pick up,CuttingBoard_20,CuttingBoard,20,pick up tomato_cut from cuttingboard,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,640.575604657917,0.0,4.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
2415,tomato_cut,assemble salad,Counter_32,Counter,32,assemble salad,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,656.5756046579163,15.999999999999318,4.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
2565,tomato,pick up,Counter_34,Counter,34,pick up tomato from counter,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,688.5756046579153,31.999999999998977,4.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
2677,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_23d29ee7,forced_division_of_labor,c8a45e2ffcc360a8,736.5756046579135,47.99999999999818,5.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints"
