tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
1557,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,694.6345849984018,137.8624116083962,1.0,1.0,1.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,"['player_5e8c79a4', 'player_5e8c79a4']","['player_5e8c79a4', 'player_5e8c79a4']",['player_5e8c79a4'],
1701,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,640.5360115021323,108.62800715066146,1.0,0.0,0.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,player_f02436cd,['player_f02436cd'],,,False
1735,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,640.5360115021323,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,player_f02436cd,['player_f02436cd'],"['player_f02436cd', 'player_f02436cd']",['player_f02436cd'],False
1784,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,640.5360115021323,0.0,1.0,0.0,0.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,player_f02436cd,['player_f02436cd'],"['player_f02436cd', 'player_f02436cd']",['player_f02436cd'],False
1785,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,733.1178080841735,38.48322308577167,1.0,0.0,1.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,,[],,,
1983,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,896.0644223198742,162.94661423570074,1.0,0.0,1.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,['player_5e8c79a4'],,,
2075,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,755.712603513919,115.17659201178674,2.0,1.0,1.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,player_f02436cd,"['player_f02436cd', 'player_f02436cd']","['player_f02436cd', 'player_f02436cd']",['player_f02436cd'],
2186,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,1072.2995799962828,176.23515767640856,2.0,0.0,1.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,,[],,,
2225,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_f02436cd,encouraged_division_of_labor_v2,4da30637768d6155,810.2459696329876,54.533366119068546,2.0,0.0,1.0,0.4,1.0,"(1, 2)",6665ff6243fd002652aac355,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_f02436cd_actions,,[],,,
2283,plate,put down,Counter_22,Counter,22,put down plate on counter,player_5e8c79a4,encouraged_division_of_labor_v2,4da30637768d6155,1126.776589579839,54.47700958355631,2.0,0.0,1.0,1.0,0.2,"(5, 2)",6554ea27378d1f1b846788b3,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_5e8c79a4_actions,player_5e8c79a4,['player_5e8c79a4'],,,
