x,y,tick,phase,distance_walked,walking_speed,cutting_speed,start_pos,prolific_id
56.0,52.50000000000284,4191,test,2184.2921819934572,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,53.750000000003126,4192,test,2185.5421819934577,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,55.00000000000341,4193,test,2186.792181993458,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4194,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4195,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4196,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4197,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4198,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4199,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4200,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4201,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4202,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4203,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4204,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4205,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4206,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4207,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4208,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4209,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4210,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4211,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4212,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4213,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4214,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4215,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4216,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4217,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4218,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4219,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4220,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4221,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4222,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
56.0,56.0,4223,test,2187.7921819934545,1.0,1.0,"(5, 2)",5966f3eee111aa000118adff
