Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e9a110f368f675db21f893,6760906e738f9b6da870edee,APPROVED,Not Applicable,2025-10-11T00:13:41.947000Z,2025-10-11T00:24:27.913000Z,2025-11-01T00:02:35.556000Z,2025-10-11T00:25:08.154407Z,646.0,CX0Z37FL,654,40,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a1125351cbffad843414,679327e8a39b3fcc97d882bf,APPROVED,Not Applicable,2025-10-11T00:13:06.085000Z,2025-10-11T00:20:10.381000Z,2025-11-01T00:02:35.915000Z,2025-10-11T00:20:10.781776Z,425.0,CX0Z37FL,737,47,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a1128534b57fc3c294b3,61081f25a115a7d73dfbc0ea,APPROVED,Not Applicable,2025-10-11T00:13:10.369000Z,2025-10-11T00:23:48.401000Z,2025-11-01T00:02:36.294000Z,2025-10-11T00:23:50.619732Z,639.0,CX0Z37FL,1421,24,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a114c9c08cf4b6c23bcc,5a792c898fe2dc0001058c3b,APPROVED,Not Applicable,2025-10-11T00:13:14.398000Z,2025-10-11T00:22:26.030000Z,2025-11-01T00:02:36.764000Z,2025-10-11T00:22:26.453557Z,552.0,CX0Z37FL,8359,38,Female,White,United States,United States,United States,English,No,Part-Time
68e9a1191555b49072514bce,5f8f72c0e591d11e91372cec,APPROVED,Not Applicable,2025-10-11T00:13:32.426000Z,2025-10-11T00:23:11.364000Z,2025-11-01T00:02:37.161000Z,2025-10-11T00:23:11.754241Z,579.0,CX0Z37FL,450,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a119ae49991ddbf410b1,60fe161826366fea90bdc7fe,APPROVED,Not Applicable,2025-10-11T00:13:18.234000Z,2025-10-11T00:20:58.696000Z,2025-11-01T00:02:37.521000Z,2025-10-11T00:21:12.104757Z,461.0,CX0Z37FL,510,23,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
68e9a11c1980072689989490,65d62743dfcd203fc76596e3,APPROVED,Not Applicable,2025-10-11T00:13:21.633000Z,2025-10-11T00:20:43.436000Z,2025-11-01T00:02:37.893000Z,2025-10-11T00:20:43.834682Z,442.0,CX0Z37FL,5119,50,Male,Mixed,Korea,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a1251831510722c5a7e2,5ddd730ffce606ce31a105d4,APPROVED,Not Applicable,2025-10-11T00:13:43.516000Z,2025-10-11T00:25:02.398000Z,2025-11-01T00:02:38.255000Z,2025-10-11T00:25:40.723883Z,679.0,CX0Z37FL,3460,43,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a25d970b6b777ed0fbbc,670075d557d79b4cef60c761,APPROVED,Not Applicable,2025-10-11T00:18:47.981000Z,2025-10-11T00:28:47.849000Z,2025-11-01T00:02:38.607000Z,2025-10-11T00:28:49.060502Z,600.0,CX0Z37FL,1603,55,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a260bf1b4f20846a9e2a,643bf6338ab6927af28b0b88,APPROVED,Not Applicable,2025-10-11T00:18:50.745000Z,2025-10-11T00:30:24.715000Z,2025-11-01T00:02:38.928000Z,2025-10-11T00:30:26.542491Z,694.0,CX0Z37FL,3314,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a26968b722c10d4e087e,608f2aa883599160c8b87a79,APPROVED,Not Applicable,2025-10-11T00:19:03.042000Z,2025-10-11T00:24:59.348000Z,2025-11-01T00:02:39.893000Z,2025-10-11T00:25:28.076035Z,357.0,CX0Z37FL,5541,35,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a271205c237c234264df,66a450cbae4aeed1d6531952,APPROVED,Not Applicable,2025-10-11T00:19:08.102000Z,2025-10-11T00:25:47.206000Z,2025-11-01T00:02:40.363000Z,2025-10-11T00:25:53.921969Z,400.0,CX0Z37FL,2032,54,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a27ac17351ad4d65ae01,67e9a601c1917b831419cf77,APPROVED,Not Applicable,2025-10-11T00:19:14.775000Z,2025-10-11T00:28:26.867000Z,2025-11-01T00:02:40.847000Z,2025-10-11T00:28:31.946487Z,553.0,CX0Z37FL,1381,30,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a27f27c49586357ce355,60ff0521c12dee27a3e65e98,APPROVED,Not Applicable,2025-10-11T00:19:16.002000Z,2025-10-11T00:25:56.409000Z,2025-11-01T00:02:41.365000Z,2025-10-11T00:25:58.664730Z,401.0,CX0Z37FL,1900,31,Female,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a281a80a84ff167255d8,63368a7379eb43fa2105d971,APPROVED,Not Applicable,2025-10-11T00:19:18.742000Z,2025-10-11T00:30:22.783000Z,2025-11-01T00:02:41.993000Z,2025-10-11T00:30:42.398450Z,665.0,CX0Z37FL,5427,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a2904aeaea188da1b517,670e58587a748f74bfb7cfbf,APPROVED,Not Applicable,2025-10-11T00:19:35.336000Z,2025-10-11T00:29:32.103000Z,2025-11-01T00:02:42.372000Z,2025-10-11T00:29:34.281553Z,597.0,CX0Z37FL,679,52,Female,White,United States,United States,United States,English,No,Part-Time
68e9a297e84642c86b62de6f,57527f5f0811ad0006f37c29,APPROVED,Not Applicable,2025-10-11T00:19:39.736000Z,2025-10-11T00:31:16.081000Z,2025-11-01T00:02:42.773000Z,2025-10-11T00:31:16.503230Z,697.0,CX0Z37FL,3754,35,Male,White,United States,United States,United States,English,No,Full-Time
68e9a29b5ceb1bf5e5c91f55,5b147696d282ff00015c2c4e,APPROVED,Not Applicable,2025-10-11T00:19:43.934000Z,2025-10-11T00:25:55.299000Z,2025-11-01T00:02:43.173000Z,2025-10-11T00:26:00.662043Z,372.0,CX0Z37FL,14409,32,Female,White,United States,United States,United States,English,No,Full-Time
68e9a29d59fe3aff0f37dd1f,5dd61f689740545c506ee244,APPROVED,Not Applicable,2025-10-11T00:19:48.493000Z,2025-10-11T00:29:13.233000Z,2025-11-01T00:02:43.585000Z,2025-10-11T00:29:13.752281Z,565.0,CX0Z37FL,6697,44,Female,White,United States,United States,United States,English,No,Full-Time
68e9a29e388903912ed250f0,6721335ba6e4ffe7fc6d1ca1,APPROVED,Not Applicable,2025-10-11T00:22:28.778000Z,2025-10-11T00:40:25.027000Z,2025-11-01T00:02:44.940000Z,2025-10-11T00:40:25.423572Z,1077.0,CX0Z37FL,1277,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a2a714346660bbe7da1a,66f6f78c68246dd27f4dcc05,APPROVED,Not Applicable,2025-10-11T00:20:12.427000Z,2025-10-11T00:29:15.426000Z,2025-11-01T00:02:45.607000Z,2025-10-11T00:29:15.825257Z,543.0,CX0Z37FL,855,29,Female,Black,United States,United States,United States,English,No,Other
68e9a2ab5da449369eeb8bb7,5b6d9fa021dca60001d13f02,APPROVED,Not Applicable,2025-10-11T00:20:05.620000Z,2025-10-11T00:26:31.727000Z,2025-11-01T00:02:46.091000Z,2025-10-11T00:26:33.398453Z,387.0,CX0Z37FL,3006,41,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e9a2b2de61b9eba661597f,67574e135dc4f196b03c2bdb,APPROVED,Not Applicable,2025-10-11T00:20:12.890000Z,2025-10-11T00:32:35.674000Z,2025-11-01T00:02:46.583000Z,2025-10-11T00:32:37.410593Z,743.0,NOCODE,891,47,Female,White,United States,United States,United States,English,DATA_EXPIRED,Other
68e9a2b464ed23a5402667f3,6629517257384969d8995d78,APPROVED,Not Applicable,2025-10-11T00:20:10.299000Z,2025-10-11T00:29:52.568000Z,2025-11-01T00:02:47.186000Z,2025-10-11T00:29:59.262781Z,583.0,CX0Z37FL,2956,49,Female,White,United States,United States,United States,English,No,Part-Time
68e9a2bbf716ba9ef96efbcb,5938e042e9b44100013ae891,APPROVED,Not Applicable,2025-10-11T00:20:16.932000Z,2025-10-11T00:28:01.194000Z,2025-11-01T00:02:49.440000Z,2025-10-11T00:28:11.388037Z,465.0,CX0Z37FL,9412,39,Female,White,United States,United States,United States,English,No,Full-Time
