Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
692095f2f0af1cc464b5c8fd,5dd26f3f5a40f228b768d3e4,AWAITING REVIEW,Not Applicable,2025-11-21T16:40:32.029000Z,2025-11-21T16:49:45.853000Z,,2025-11-21T16:49:46.457117Z,554.0,CX0Z37FL,4346,35,Female,White,United States,United States,United States,English,No,Full-Time
692096d182efb6a943b39f1e,6688196ff8ecace0eaba5839,AWAITING REVIEW,Not Applicable,2025-11-21T16:44:53.638000Z,2025-11-21T17:02:03.785000Z,,2025-11-21T17:02:04.170856Z,1031.0,CX0Z37FL,1584,50,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
692099341b6a804b5fd63c14,647652cb5644044df439e1fb,AWAITING REVIEW,Not Applicable,2025-11-21T16:54:20.442000Z,2025-11-21T17:02:04.644000Z,,2025-11-21T17:02:05.203212Z,465.0,CX0Z37FL,3405,38,Female,White,United States,United States,United States,English,No,Part-Time
692099f17c2f176554067c1e,6640262ed0b9e3f217df4086,AWAITING REVIEW,Not Applicable,2025-11-21T16:57:38.082000Z,2025-11-21T17:11:39.276000Z,,2025-11-21T17:11:39.664169Z,842.0,CX0Z37FL,2275,33,Male,White,United States,United States,United States,English,No,Part-Time
69209b56e2a07c554791dafe,667f8a768415858efef4a729,AWAITING REVIEW,Not Applicable,2025-11-21T17:03:22.192000Z,2025-11-21T17:11:40.835000Z,,2025-11-21T17:11:41.227312Z,499.0,CX0Z37FL,2357,50,Female,Asian,Indonesia,United States,Indonesia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6920a066ae61483ca8c5ae6d,67b9d2f7a49052c6e25c6a7f,AWAITING REVIEW,Not Applicable,2025-11-21T17:24:57.454000Z,2025-11-21T17:39:56.588000Z,,2025-11-21T17:39:57.006544Z,900.0,CX0Z37FL,3727,55,Female,Black,United States,United States,United States,English,No,Full-Time
6920a2618cba776263c7886d,601848135aa9ba08c66cff6a,AWAITING REVIEW,Not Applicable,2025-11-21T17:33:25.446000Z,2025-11-21T17:39:54.829000Z,,2025-11-21T17:39:55.234290Z,390.0,CX0Z37FL,3148,46,Male,Black,United States,United States,United States,English,No,Full-Time
6920a2dc996ca5724b5945b6,691e33df8b5c61b54f6de0d5,AWAITING REVIEW,Not Applicable,2025-11-21T17:35:30.039000Z,2025-11-21T17:48:16.671000Z,,2025-11-21T17:48:17.072776Z,767.0,CX0Z37FL,12,38,Female,White,United States,United States,DATA_EXPIRED,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6920a367e928928c9d2e4807,664003b962a847c71db3ebb0,AWAITING REVIEW,Not Applicable,2025-11-21T17:37:56.281000Z,2025-11-21T17:48:17.292000Z,,2025-11-21T17:48:17.730000Z,622.0,CX0Z37FL,2890,39,Female,Black,Nigeria,United States,Nigeria,English,No,Full-Time
6920a4b8f6b9b7bb3ae4aa0d,66ccdd9f6b12c6ea6fa01f42,AWAITING REVIEW,Not Applicable,2025-11-21T17:43:24.873000Z,2025-11-21T17:53:15.465000Z,,2025-11-21T17:53:15.845602Z,591.0,CX0Z37FL,5202,33,Male,White,United States,United States,Germany,English,DATA_EXPIRED,Full-Time
6920a5309dd2baa943d05fad,5c376ea0eecc440001c58889,AWAITING REVIEW,Not Applicable,2025-11-21T17:45:35.418000Z,2025-11-21T17:53:15.914000Z,,2025-11-21T17:53:16.315808Z,461.0,CX0Z37FL,11664,47,Male,White,United States,United States,United States,English,No,Full-Time
6920a881a3685b1f46efa8ec,5bef41fa54277d000114d6ad,AWAITING REVIEW,Not Applicable,2025-11-21T17:59:43.050000Z,2025-11-21T18:14:00.315000Z,,2025-11-21T18:14:00.710992Z,858.0,NOCODE,10992,29,Male,White,United States,United States,United States,English,Yes,Full-Time
6920ab0bc66793374a99aa4a,64d518b2a5e95098500a176c,AWAITING REVIEW,Not Applicable,2025-11-21T18:10:27.181000Z,2025-11-21T18:34:18.346000Z,,2025-11-21T18:34:18.783120Z,1432.0,CX0Z37FL,1297,51,Female,Black,United States,United States,United States,English,No,Part-Time
6920ae1c9abd54b8ec247411,671fa640613553ae54b0b526,AWAITING REVIEW,Not Applicable,2025-11-21T18:23:29.340000Z,2025-11-21T18:27:20.341000Z,,2025-11-21T18:27:20.710301Z,232.0,NOCODE,1478,48,Female,White,United States,United States,United States,English,No,Part-Time
6920af488848ed554e1c41c5,6627e29477d23bd171a6728a,AWAITING REVIEW,Not Applicable,2025-11-21T18:28:30.119000Z,2025-11-21T18:34:18.648000Z,,2025-11-21T18:34:19.048405Z,349.0,CX0Z37FL,4060,44,Male,White,United States,United States,United States,English,No,Full-Time
6920c1d84334c43a88e27e35,668dcba371d7ac60f95d1b5b,AWAITING REVIEW,Not Applicable,2025-11-21T19:47:40.229000Z,2025-11-21T20:00:33.295000Z,,2025-11-21T20:00:33.665207Z,774.0,CX0Z37FL,1575,47,Female,White,United States,United States,United States,English,No,Full-Time
6920c2aa8848ed554e1c4867,67d1e699af2dd980a764accb,AWAITING REVIEW,Not Applicable,2025-11-21T19:51:17.147000Z,2025-11-21T20:01:13.384000Z,,2025-11-21T20:01:13.816106Z,597.0,CX0Z37FL,2367,25,Male,White,United States,United States,United States,English,Yes,Part-Time
6920c3cb91bf8698b476006f,669aed56568d11bad784de3b,AWAITING REVIEW,Not Applicable,2025-11-21T19:55:59.957000Z,2025-11-21T20:04:54.782000Z,,2025-11-21T20:04:55.224707Z,535.0,CX0Z37FL,2557,37,Female,Black,United States,United States,United States,English,No,Part-Time
6920c430ed0bd19ee7b5c94b,67892eff7160598a4589ea57,AWAITING REVIEW,Not Applicable,2025-11-21T19:57:41.825000Z,2025-11-21T20:10:23.060000Z,,2025-11-21T20:10:23.417790Z,762.0,CX0Z37FL,1579,43,Female,White,United States,United States,United States,English,No,Full-Time
