tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,condition
56,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,22.62741699796952,0.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
81,tomato,put down,Counter_32,Counter,32,put down tomato on counter,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,38.62741699796952,16.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
111,tomato,pick up,Counter_32,Counter,32,pick up tomato from counter,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,38.62741699796952,0.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
132,tomato,put down,Counter_32,Counter,32,put down tomato on counter,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,38.62741699796952,0.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
165,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,77.03447966473449,38.40706266676497,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
201,plate,put down,Counter_33,Counter,33,put down plate on counter,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,122.28931366067351,45.25483399593904,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
303,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,154.2893136606735,31.999999999999982,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
390,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,326.03255387554015,171.74324021486663,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
499,tomato_cut,pick up,CuttingBoard_20,CuttingBoard,20,pick up tomato_cut from cuttingboard,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,326.03255387554015,0.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
539,tomato_cut,assemble salad,Counter_34,Counter,34,assemble salad,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,374.03255387554054,48.0000000000004,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
588,tomato,pick up,Counter_32,Counter,32,pick up tomato from counter,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,406.0325538755408,32.00000000000023,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
644,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,422.03255387554094,16.00000000000017,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
776,tomato_salad,pick up,Counter_34,Counter,34,pick up tomato_salad from counter,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,470.03255387554134,48.0000000000004,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
884,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,568.3632713291125,98.3307174535712,2.0,1.0,1.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
925,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_a9838535,encouraged_division_of_labor,b612f59daca139a6,606.7745311691388,38.41125984002622,2.0,0.0,1.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_default"
