tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,condition
312,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_3930974e,encouraged_division_of_labor,d2d646e1af2af7b0,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)","[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
599,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_3930974e,encouraged_division_of_labor,d2d646e1af2af7b0,200.60083180500789,177.97341480703838,0.0,0.0,0.0,1.0,1.0,"(5, 2)","[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
870,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_3930974e,encouraged_division_of_labor,d2d646e1af2af7b0,392.67832230697013,192.07749050196225,0.0,0.0,0.0,1.0,1.0,"(5, 2)","[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
972,plate,put down,Counter_34,Counter,34,put down plate on counter,player_3930974e,encouraged_division_of_labor,d2d646e1af2af7b0,452.35058680297294,59.67226449600281,0.0,0.0,0.0,1.0,1.0,"(5, 2)","[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1125,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_3930974e,encouraged_division_of_labor,d2d646e1af2af7b0,583.1028526998138,130.7522658968408,0.0,0.0,0.0,1.0,1.0,"(5, 2)","[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1205,tomato_cut,assemble salad,Counter_34,Counter,34,assemble salad,player_3930974e,encouraged_division_of_labor,d2d646e1af2af7b0,637.5798622833703,54.47700958355654,1.0,0.0,0.0,1.0,1.0,"(5, 2)","[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1259,tomato_salad,pick up,Counter_34,Counter,34,pick up tomato_salad from counter,player_3930974e,encouraged_division_of_labor,d2d646e1af2af7b0,637.5798622833703,0.0,1.0,0.0,0.0,1.0,1.0,"(5, 2)","[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1506,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_3930974e,encouraged_division_of_labor,d2d646e1af2af7b0,729.0196668789811,91.43980459561078,2.0,1.0,1.0,1.0,1.0,"(5, 2)","[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1569,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_3930974e,encouraged_division_of_labor,d2d646e1af2af7b0,761.0196668789798,31.99999999999875,2.0,0.0,1.0,1.0,1.0,"(5, 2)","[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1771,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_3930974e,encouraged_division_of_labor,d2d646e1af2af7b0,946.4442875344814,185.4246206555016,2.0,0.0,1.0,1.0,1.0,"(5, 2)","[p(2, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
