tick,phase,collision,CuttingBoard_01_slot_x,CuttingBoard_01_slot_y,CuttingBoard_01_item,CuttingBoard_01_cut_time_accumulated,CuttingBoard_01_cut_stage,CuttingBoard_02_slot_x,CuttingBoard_02_slot_y,CuttingBoard_02_item,CuttingBoard_02_cut_time_accumulated,CuttingBoard_02_cut_stage,CuttingBoard_10_slot_x,CuttingBoard_10_slot_y,CuttingBoard_10_item,CuttingBoard_10_cut_time_accumulated,CuttingBoard_10_cut_stage,Counter_22_slot_x,Counter_22_slot_y,Counter_22_item,Counter_23_slot_x,Counter_23_slot_y,Counter_23_item,Counter_24_slot_x,Counter_24_slot_y,Counter_24_item,Counter_25_slot_x,Counter_25_slot_y,Counter_25_item,Counter_26_slot_x,Counter_26_slot_y,Counter_26_item,Counter_27_slot_x,Counter_27_slot_y,Counter_27_item,Dispenser_50_slot_x,Dispenser_50_slot_y,Dispenser_50_item,Delivery_53_slot_x,Delivery_53_slot_y,Delivery_53_item,Dispenser_60_slot_x,Dispenser_60_slot_y,Dispenser_60_item,Delivery_63_slot_x,Delivery_63_slot_y,Delivery_63_item,Delivery_73_slot_x,Delivery_73_slot_y,Delivery_73_item,Dispenser_80_slot_x,Dispenser_80_slot_y,Dispenser_80_item,Delivery_83_slot_x,Delivery_83_slot_y,Delivery_83_item,Dispenser_91_slot_x,Dispenser_91_slot_y,Dispenser_91_item,Delivery_93_slot_x,Delivery_93_slot_y,Delivery_93_item,d6a16aba01cb07cc_score,player_57ec6045_x,player_57ec6045_y,player_57ec6045_move_target,player_57ec6045_item,player_57ec6045_score,player_57ec6045_cut_speed,player_57ec6045_speed,player_c63615ad_x,player_c63615ad_y,player_c63615ad_move_target,player_c63615ad_item,player_c63615ad_score,player_c63615ad_cut_speed,player_c63615ad_speed,0e99806f83bc1609_score,3c8746016dd856e6_message,98de611e8dce5b50_score
6809,test,True,0,1,None_cut,4.0,3,0,2,tomato,0.125,0,1,0,None_cut,3.33333333333333,3,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,,24.0,40.0,,,0,1.0,30.0,56.0,56.99999999999659,,tomato_salad,6,1.0,30.0,,,6.0
6810,test,True,0,1,None_cut,4.0,3,0,2,tomato,0.16666666666666666,0,1,0,None_cut,3.33333333333333,3,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,,24.0,40.0,,,0,1.0,30.0,56.31621556657754,55.8798317388366,,tomato_salad,6,1.0,30.0,,,6.0
6811,test,True,0,1,None_cut,4.0,3,0,2,tomato,0.20833333333333331,0,1,0,None_cut,3.33333333333333,3,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,,24.0,40.0,,,0,1.0,30.0,57.19459214040404,54.990475457837135,,tomato_salad,6,1.0,30.0,,,6.0
6812,test,True,0,1,None_cut,4.0,3,0,2,tomato,0.24999999999999997,0,1,0,None_cut,3.33333333333333,3,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,,24.0,40.0,,,0,1.0,30.0,58.07296871423054,54.10111917683767,,tomato_salad,6,1.0,30.0,,,6.0
6813,test,True,0,1,None_cut,4.0,3,0,2,tomato,0.29166666666666663,0,1,0,None_cut,3.33333333333333,3,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,,24.0,40.0,,,0,1.0,30.0,58.95134528805704,53.211762895838206,,tomato_salad,6,1.0,30.0,,,6.0
6814,test,True,0,1,None_cut,4.0,3,0,2,tomato,0.3333333333333333,0,1,0,None_cut,3.33333333333333,3,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,,24.0,40.0,,,0,1.0,30.0,59.82972186188354,52.32240661483874,,tomato_salad,6,1.0,30.0,,,6.0
6815,test,True,0,1,None_cut,4.0,3,0,2,tomato,0.375,0,1,0,None_cut,3.33333333333333,3,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,,24.0,40.0,,,0,1.0,30.0,60.70809843571004,51.433050333839276,,tomato_salad,6,1.0,30.0,,,6.0
6816,test,True,0,1,None_cut,4.0,3,0,2,tomato,0.4166666666666667,0,1,0,None_cut,3.33333333333333,3,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,,24.0,40.0,,,0,1.0,30.0,61.58647500953654,50.543694052839896,,tomato_salad,6,1.0,30.0,,,6.0
6817,test,True,0,1,None_cut,4.0,3,0,2,tomato,0.45833333333333337,0,1,0,None_cut,3.33333333333333,3,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,,24.0,40.0,,,0,1.0,30.0,62.46485158336304,49.654337771840936,,tomato_salad,6,1.0,30.0,,,6.0
6818,test,True,0,1,None_cut,4.0,3,0,2,tomato,0.5,0,1,0,None_cut,3.33333333333333,3,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,,24.0,40.0,,,0,1.0,30.0,63.34322815718954,48.76498149084197,,tomato_salad,6,1.0,30.0,,,6.0
