tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
183,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_e7ffa768,encouraged_division_of_labor,94a152d3bebad51e,22.62741699796951,0.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_e7ffa768_actions,,[],,,
349,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_e7ffa768,encouraged_division_of_labor,94a152d3bebad51e,195.3825453760415,172.755128378072,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_e7ffa768_actions,player_e7ffa768,['player_e7ffa768'],,,
401,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,163.19484899715104,0.0,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,,[],,,
706,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_e7ffa768,encouraged_division_of_labor,94a152d3bebad51e,381.2684616771021,185.88591630106055,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_e7ffa768_actions,,[],,,
747,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,348.83211124809,185.63726225093893,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,player_008fc5c3,['player_008fc5c3'],,,
1055,plate,put down,Dispenser_50,Dispenser,50,put down plate on dispenser,player_e7ffa768,encouraged_division_of_labor,94a152d3bebad51e,397.2684616771021,16.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_e7ffa768_actions,player_e7ffa768,['player_e7ffa768'],,,
1055,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_e7ffa768,encouraged_division_of_labor,94a152d3bebad51e,397.2684616771021,0.0,0.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_e7ffa768_actions,,[],,,
1173,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,541.0682438039074,192.23613255581745,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,,[],,,
1324,plate,put down,Counter_32,Counter,32,put down plate on counter,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,579.601004506672,38.53276070276456,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,player_008fc5c3,['player_008fc5c3'],,,
1657,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,742.7958535038312,163.19484899715917,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,player_008fc5c3,['player_008fc5c3'],,,False
1737,tomato_cut,assemble salad,Counter_32,Counter,32,assemble salad,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,765.4232705018001,22.627416997968908,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,player_008fc5c3,['player_008fc5c3'],"['player_008fc5c3', 'player_008fc5c3']",['player_008fc5c3'],False
1799,tomato_salad,pick up,Counter_32,Counter,32,pick up tomato_salad from counter,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,765.4232705018001,0.0,0.0,0.0,0.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,player_008fc5c3,['player_008fc5c3'],"['player_008fc5c3', 'player_008fc5c3']",['player_008fc5c3'],False
2027,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,880.7441230750372,115.32085257323718,1.0,1.0,1.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,player_008fc5c3,"['player_008fc5c3', 'player_008fc5c3']","['player_008fc5c3', 'player_008fc5c3']",['player_008fc5c3'],
2164,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,935.297285595135,54.55316252009777,1.0,0.0,1.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,,[],,,
2267,tomato,put down,Counter_32,Counter,32,put down tomato on counter,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,951.2972855951344,15.999999999999318,1.0,0.0,1.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,player_008fc5c3,['player_008fc5c3'],,,
2337,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,967.2972855951336,15.999999999999318,1.0,0.0,1.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,,[],,,
2422,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_e7ffa768,encouraged_division_of_labor,94a152d3bebad51e,582.6930823326063,185.42462065550427,1.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_e7ffa768_actions,player_e7ffa768,['player_e7ffa768'],,,
2487,tomato,put down,Counter_33,Counter,33,put down tomato on counter,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,999.2972855951324,31.999999999998636,1.0,0.0,1.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,player_008fc5c3,['player_008fc5c3'],,,
2528,tomato_cut,pick up,CuttingBoard_20,CuttingBoard,20,pick up tomato_cut from cuttingboard,player_e7ffa768,encouraged_division_of_labor,94a152d3bebad51e,598.6930823326059,15.999999999999543,1.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_e7ffa768_actions,player_e7ffa768,['player_e7ffa768'],,,False
2619,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,1031.297285595132,31.999999999999773,1.0,0.0,1.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,,[],,,
2691,tomato_cut,put down,Dispenser_60,Dispenser,60,put down tomato_cut on dispenser,player_e7ffa768,encouraged_division_of_labor,94a152d3bebad51e,784.5789986336617,185.8859163010559,1.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_e7ffa768_actions,player_e7ffa768,"['player_e7ffa768', 'player_e7ffa768']",,,
2691,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_e7ffa768,encouraged_division_of_labor,94a152d3bebad51e,784.5789986336617,0.0,1.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_e7ffa768_actions,,[],,,
2952,tomato,start cutting,CuttingBoard_20,CuttingBoard,20,start cutting tomato,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,1204.0528190343327,172.7555334392007,1.0,0.0,1.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,player_008fc5c3,['player_008fc5c3'],,,
3345,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,1389.9954028431162,185.9425838087834,1.0,0.0,1.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,,[],,,
3464,plate,put down,Counter_34,Counter,34,put down plate on counter,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,1451.0394209598896,61.044018116773486,1.0,0.0,1.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,player_008fc5c3,['player_008fc5c3'],,,
3590,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,1512.0834390766724,61.04401811678281,1.0,0.0,1.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,,[],,,
3734,plate,put down,Counter_35,Counter,35,put down plate on counter,player_e7ffa768,encouraged_division_of_labor,94a152d3bebad51e,859.979096208258,75.40009757459632,1.0,0.0,0.0,1.0,0.5,"(5, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_e7ffa768_actions,player_e7ffa768,['player_e7ffa768'],,,
3950,plate,put down,CuttingBoard_20,CuttingBoard,20,put down plate on cuttingboard,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,1697.884091980652,185.80065290397943,1.0,0.0,1.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,player_008fc5c3,['player_008fc5c3'],,,
3950,tomato_cut,pick up,CuttingBoard_20,CuttingBoard,20,pick up tomato_cut from cuttingboard,player_008fc5c3,encouraged_division_of_labor,94a152d3bebad51e,1697.884091980652,0.0,1.0,0.0,1.0,0.5,1.0,"(2, 2)","[p(2, 2)_cs(1.0)_ws(0.5)]_[p(5, 2)_cs(0.5)_ws(1.0)]_ability_hints",player_008fc5c3_actions,player_008fc5c3,['player_008fc5c3'],,,False
